ꀀ | Chinese: 1. pron. 我的（引述式） | 2. v. (1) 有；存在（多指房屋或容器中有某物） (2) 居住 (3) 睡觉
ꀀ ꀕ | Chinese: 1. pron. 我自己（引述式）
ꀊ ꌃ | Chinese: 1. adj. 纯粹
ꀊ ꌤ | Chinese: 1. adj. 细（指粉末）
ꀊ ꌱ | Chinese: 1. n. (1) 表姐妹（称姑母家之女） (2) 兄弟的妻子；丈夫的姐妹
ꀊ ꍆ | Chinese: 1. n. 喜鹊
ꀊ ꍆ ꃱ ꏢ | Chinese: 1. n. 酸酸菜
ꀊ ꎴ | Chinese: 1. adj. 长
ꀊ ꏀ | Chinese: 1. adj. 崭新
ꀊ ꏂ | Chinese: 1. adj. 黄色（指颜色）
ꀊ ꏢ | Chinese: 1. n. 筛子
ꀊ ꏰ ꏳ | Chinese: 1. adj. 俨然如真
ꀊ ꐎ | Chinese: 1. adj. 白色；银色
ꀊ ꐓ | Chinese: 1. cl. 半匹（土布）
ꀊ ꐜ | Chinese: 1. adj. 枣红色（指黄牛、马）
ꀊ ꐯ | Chinese: 1. adj. 宽
ꀊ ꑙ | Chinese: 1. n. 猴子
ꀊ ꑙ ꌩ ꄳ | Chinese: 1. n. 榛栗；野栗
ꀊ ꑣ ꇱ | Chinese: 1. v. 摔跤
ꀋ | Chinese: 1. adv. 不；没有 | 2. att. 啊（表示关心的语气）
ꀋ ꀧ ꀋ ꄒ | Chinese: 1. adj. 过分
ꀋ ꀨ | Chinese: 1. n. 褂子
ꀋ ꀮ | Chinese: 1. adj. 公
ꀋ ꀵ ꀕ | Chinese: 1. adj. 奇怪
ꀋ ꁧ | Chinese: 1. n. (1) 父亲 (2) 丈夫
ꀋ ꁧ ꀉ ꌺ | Chinese: 1. n. 父子
ꀋ ꁧ ꀋ ꃋ | Chinese: 1. n. 父女
ꀋ ꁧ ꂛ ꊨ | Chinese: 1. n. 父老兄弟（娘家）
ꀋ ꂓ | Chinese: 1. n. (1) 表姐妹（舅舅家之女） (2) 父亲兄弟的儿子的妻子 (3) 嫂嫂
ꀋ ꂓ ꀊ ꌱ | Chinese: 1. n. (1) 表姐妹 (2) 嫂子；弟媳
ꀋ ꂰ ꀁ ꌋ | Chinese: 1. adv. 近日来
ꀋ ꂸ | Chinese: 1. att. 嘛（表示恳切地告知的语气）
ꀋ ꂿ ꎿ | Chinese: 1. n. 海洋背光面
ꀋ ꂿ ꑘ | Chinese: 1. adv. 重要；主要
ꀋ ꃀ | Chinese: 1. adj. (1) 母 (2) 大
ꀋ ꃀ ꀉ ꌺ | Chinese: 1. n. 母子
ꀋ ꃀ ꀋ ꃋ | Chinese: 1. n. 母女
ꀋ ꃀ ꃶ | Chinese: 1. n. 妇女（指生过小孩的）
ꀋ ꃅ | Chinese: 1. adv. 现在 | 2. n. 女儿
ꀋ ꃅ ꆸ ꈐ | Chinese: 1. adv. 迄今
ꀋ ꃅ ꎿ ꈎ | Chinese: 1. n. 今年
ꀋ ꃉ ꌌ | Chinese: 1. adv. 刚才
ꀋ ꃋ | Chinese: 1. n. 女儿 | 2. adv. 现在
ꀋ ꃋ ꅤ | Chinese: 1. n. 侄女
ꀋ ꃋ ꉗ ꋒ | Chinese: 1. n. 孪生女
ꀋ ꃋ ꌺ | Chinese: 1. n. 女人
ꀋ ꃋ ꍸ | Chinese: 1. n. 孤女
ꀋ ꃋ ꑘ | Chinese: 1. n. 小女儿（幺女）
ꀋ ꃨ | Chinese: 1. n. 无花果
ꀋ ꃱ ꀕ | Chinese: 1. adv. 形迹可疑
ꀋ ꃴ ꉘ | Chinese: 1. adj. 阴险
ꀋ ꃷ ꎵ | Chinese: 1. adj. 不计其数
ꀋ ꄚ | Chinese: 1. adj. 精神不振；无精打采
ꀋ ꄸ ꄷ | Chinese: 1. conj. 如果；假如
ꀋ ꅔ ꉇ | Chinese: 1. n. 昨天
ꀋ ꅞ ꉖ | Chinese: 1. n. 昨天晚上
ꀋ ꆀ ꀕ | Chinese: 1. adj. 斯文；文质彬彬
ꀋ ꆪ | Chinese: 1. n. 兔子
ꀋ ꆳ | Chinese: 1. n. 斑鸠
ꀋ ꆽ ꁏ | Chinese: 1. v. 讥讽
ꀋ ꇈ | Chinese: 1. adv. 将近；差不多
ꀋ ꇊ | Chinese: 1. adv. 差不多；几乎
ꀋ ꇎ ꀋ ꂪ | Chinese: 1. adj. (1) 不足 (2) 青黄不接
ꀋ ꇝ | Chinese: 1. adj. 不顾
ꀋ ꇮ ꆺ ꌋ ꀕ | Chinese: 1. att. 稀奇古怪
ꀋ ꇰ ꀋ ꇊ | Chinese: 1. adv. 过分；过于；太
ꀋ ꇰ ꀋ ꉈ | Chinese: 1. adv. 非常
ꀋ ꇷ ꋠ | Chinese: 1. v. 抱屈；争气
ꀋ ꈘ ꏡ | Chinese: 1. adj. 连续不断
ꀋ ꉊ ꃀ | Chinese: 1. adv. 从前；以前；过去
ꀋ ꉊ ꄹ ꈎ | Chinese: 1. n. 去年
ꀋ ꉊ ꊂ | Chinese: 1. adv. 近年来
ꀋ ꉬ ꀋ ꄿ | Chinese: 1. adj. 重要；主要
ꀋ ꉬ ꀋ ꉆ | Chinese: 1. adv. 重要；主要
ꀋ ꊧ ꃚ | Chinese: 1. n. 首要分子；罪魁祸首
ꀋ ꋌ ꉬ | Chinese: 1. adv. 轻微；平常
ꀋ ꌋ ꀕ | Chinese: 1. adv. 悄悄 | 2. adj. 故作正经
ꀋ ꍠ ꁍ | Chinese: 1. n. 大锅；老定锅
ꀋ ꍹ ꀋ ꆂ | Chinese: 1. adj. 懒懒散散
ꀋ ꎪ | Chinese: 1. adj. 诚实
ꀋ ꎪ ꃅ | Chinese: 1. adv. 一定；肯定
ꀋ ꎴ ꈢ | Chinese: 1. adj. 冷言冷语
ꀋ ꏮ ꐙ | Chinese: 1. adv. 像…一样
ꀋ ꐕ ꀋ ꁁ | Chinese: 1. adv. 半途而废
ꀋ ꐯ ꄡ ꍏ ꀕ | Chinese: 1. adv. 正巧；碰巧
ꀋ ꑇ ꆺ ꌋ ꀕ | Chinese: 1. adj. 若无其事
ꀋ ꑍ ꂿ | Chinese: 1. adv. 前一段时间
ꀋ ꑍ ꊂ | Chinese: 1. adv. 近来；最近
ꀌ ꀠ | Chinese: 1. n. (1) 蛙（泛指） (2) 癞蛤蟆
ꀌ ꀠ ꀊ ꃴ | Chinese: 1. n. 雨蛙
ꀌ ꀠ ꆈ ꈾ | Chinese: 1. n. 癞蛤蟆
ꀌ ꀠ ꎭ ꉻ | Chinese: 1. n. 乌龟
ꀌ ꀠ ꏾ ꅪ | Chinese: 1. n. 红腿蛙
ꀌ ꀠ ꒊ ꆱ | Chinese: 1. n. 蝌蚪
ꀌ ꂊ ꏺ ꈓ | Chinese: 1. adj. 固执；刚愎自用
ꀌ ꆂ ꊥ | Chinese: 1. adj. 任性、倔强
ꀌ ꈓ ꁎ ꏅ | Chinese: 1. adj. 费尽力气
ꀍ ꀜ ꂪ ꊙ ꏿ | Chinese: 1. v. 连蹦带跳（多用于指牲畜）
ꀍ ꀬ | Chinese: 1. n. 梳子
ꀍ ꁱ | Chinese: 1. adj. 瘌痢头
ꀍ ꂪ ꏵ ꀠ | Chinese: 1. adj. 颠倒；本末倒置
ꀍ ꂷ | Chinese: 1. n. 头顶
ꀍ ꃈ ꄚ | Chinese: 1. v. 磕头
ꀍ ꃈ ꏵ ꀠ | Chinese: 1. adj. 颠倒；本末倒置
ꀍ ꃓ | Chinese: 1. n. （姑娘戴的）头巾；头帕
ꀍ ꃓ ꏧ ꇁ | Chinese: 1. n. （姑娘带的戴飘带的）头巾
ꀍ ꃝ ꂪ ꌎ | Chinese: 1. v. 挠头抓脑（不好意思）
ꀍ ꃨ | Chinese: 1. n. 头饰（出嫁时戴的金银花饰）
ꀍ ꃺ ꈜ | Chinese: 1. n. 头路
ꀍ ꄔ ꂥ ꄓ | Chinese: 1. adj. 七拱八翘
ꀍ ꄟ | Chinese: 1. n. 头巾；头帕；帽子
ꀍ ꅦ ꇓ | Chinese: 1. n. （山）顶峰
ꀍ ꆅ ꑭ ꊸ | Chinese: 1. n. 病灾；病痛
ꀍ ꆰ ꑓ ꃬ | Chinese: 1. adv. (1) 没有注意（看） (2) 一晃而过
ꀍ ꇓ ꂨ ꇓ | Chinese: 1. adj. 捂头盖脚
ꀍ ꇤ | Chinese: 1. v. 打；揍
ꀍ ꇷ | Chinese: 1. n. 野猫
ꀍ ꉀ | Chinese: 1. adv. 往上；上头
ꀍ ꉔ ꂪ ꏻ | Chinese: 1. adj. (1) 滑头 (2) 机灵
ꀍ ꉞ | Chinese: 1. v. 点头
ꀍ ꋏ | Chinese: 1. n. 囟门（脑门心）
ꀍ ꎭ | Chinese: 1. adj. 头发稀少
ꀍ ꏶ | Chinese: 1. n. 辫子
ꀍ ꐞ | Chinese: 1. n. 叉（头发）
ꀍ ꑆ ꂪ ꉔ | Chinese: 1. adj. 穿来穿去；溜来溜去；不踏实
ꀍ ꑐ | Chinese: 1. n. 头发
ꀎ | Chinese: 1. int. 哦；噢
ꀎ ꄅ ꊁ ꄅ | Chinese: 1. n. 厚薄；厚度
ꀎ ꄆ ꀕ | Chinese: 1. adj. 灰溜溜；蔫
ꀎ ꇎ ꃬ | Chinese: 1. adj. (1) 委靡不振 (2) 垂头（病状）
ꀎ ꇓ | Chinese: 1. n. 帽子
ꀎ ꇔ | Chinese: 1. n. 荷叶帽（生育后的妇女专用）
ꀎ ꈓ | Chinese: 1. n. 头年 | 2. adj. 大一岁
ꀎ ꈠ ꆺ ꇬ | Chinese: 1. adv. 首先
ꀎ ꈯ | Chinese: 1. v. 脱险；好转（指小孩病）
ꀎ ꋏ | Chinese: 1. n. 前辈
ꀎ ꌃ | Chinese: 1. n. (1) 秃头 (2) 秃头人
ꀏ | Chinese: 1. n. 下；下面
ꀏ ꀱ ꄩ ꆽ | Chinese: 1. v. 上下翻腾
ꀏ ꃅ ꄩ ꃅ | Chinese: 1. v. 胡作非为
ꀏ ꅑ ꄩ ꅑ | Chinese: 1. adv. （有点）出入（多指分量）
ꀏ ꊥ ꄩ ꊥ | Chinese: 1. n. 高度；高矮
ꀏ ꏯ | Chinese: 1. n. 下面
ꀏ ꐕ ꄩ ꐕ | Chinese: 1. adv. （价格）上下；高低
ꀐ | Chinese: 1. ta. (1) 了 (2) 了
ꀐ ꆹ ꃄ ꆹ ꎴ | Chinese: 1. adj. 不理睬；不表态
ꀐ ꆺ | Chinese: 1. att. 啊
ꀐ ꇬ | Chinese: 1. conj. 的话
ꀐ ꍰ | Chinese: 1. att. …了（表达完全完成了）
ꀑ | Chinese: 1. n. (1) 肾 (2) 头（文学语） (3) 物体的顶端
ꀑ ꀮ | Chinese: 1. adj. 秃头（因生疮而）
ꀑ ꁮ | Chinese: 1. adj. 聪明
ꀑ ꂪ | Chinese: 1. n. 首尾；左右；上下
ꀑ ꃀ | Chinese: 1. adj. 头昏
ꀑ ꃚ | Chinese: 1. n. （头）角
ꀑ ꃶ | Chinese: 1. adj. 昏头
ꀑ ꅥ | Chinese: 1. v. 诈；冒诈；逼诈
ꀑ ꆊ | Chinese: 1. n. 脑袋；脑髓
ꀑ ꆗ ꀊ ꌱ | Chinese: 1. n. 表兄妹；表姐表弟
ꀑ ꆴ ꑊ ꀠ | Chinese: 1. v. 改头换面
ꀑ ꇬ | Chinese: 1. n. (1) 生命 (2) 发带（生孩子后戴的）
ꀑ ꇬ ꂪ ꌐ | Chinese: 1. adv. 自始至终
ꀑ ꇬ ꆺ | Chinese: 1. v. 丧命
ꀑ ꈑ | Chinese: 1. n. 枕头
ꀑ ꈤ ꂪ ꏮ | Chinese: 1. adj. 瘦弱
ꀑ ꉈ ꂪ ꇤ | Chinese: 1. v. 摇头（表示坚决不同意）
ꀑ ꉜ ꁠ ꅲ | Chinese: 1. v. 关照；照料
ꀑ ꉜ ꂪ ꉚ | Chinese: 1. v. 瞻前顾后
ꀑ ꉭ | Chinese: 1. v. 点头（同意）
ꀑ ꊝ | Chinese: 1. adj. 双数
ꀑ ꋩ | Chinese: 1. adj. 无头绪
ꀑ ꏢ | Chinese: 1. adj. 尖头
ꀑ ꐈ ꂪ ꆠ | Chinese: 1. adj. 狡猾而虚伪
ꀑ ꐎ | Chinese: 1. adj. 头发白
ꀑ ꐔ ꆠ ꎲ | Chinese: 1. v. （使人）羞耻；羞愧
ꀑ ꐕ | Chinese: 1. v. 抬头
ꀑ ꐱ | Chinese: 1. adv. 简要；简单；般；笼统
ꀑ ꑊ | Chinese: 1. n. (1) 脸；面貌 (2) 面子
ꀑ ꑊ ꅪ ꁧ | Chinese: 1. n. 面容；相貌
ꀑ ꑌ | Chinese: 1. n. (1) 舅父；舅舅 (2) 岳父
ꀑ ꑌ ꂾ | Chinese: 1. n. 表妹
ꀑ ꑌ ꂾ ꀉ ꁧ ꌺ | Chinese: 1. n. (1) （姑舅表亲）表兄妹 (2) 姐妹的丈夫（男称）
ꀑ ꑌ ꌺ | Chinese: 1. n. 表兄弟（舅之子）
ꀒ | Chinese: 1. n. 鹅 | 2. pron. 我们（引述式） | 3. int. (1) 唉（应答声） (2) 啊（表惊讶）
ꀒ ꀐ | Chinese: 1. pron. 我们自己（引述式）
ꀒ ꁓ | Chinese: 1. n. 一种马的呼吸道疾病
ꀒ ꁨ | Chinese: 1. n. 前面 | 2. adv. 向前；往前
ꀒ ꁵ | Chinese: 1. n. (1) 梢；顶；头子 (2) 板鹅
ꀒ ꄬ | Chinese: 1. adj. 头大
ꀒ ꄸ ꂰ | Chinese: 1. n. 头天晚上
ꀒ ꄸ ꉖ | Chinese: 1. n. 头天晚上
ꀒ ꆷ | Chinese: 1. v. 翘首；仰头
ꀒ ꆹ ꀐ ꆹ | Chinese: 1. adj. 肥壮（多指幼畜）
ꀒ ꆺ | Chinese: 1. adj. 圆头；圆顶（多指羊未长角）
ꀒ ꆺ ꁍ | Chinese: 1. v. (1) 打饱嗝 (2) 反胃
ꀒ ꆺ ꇤ | Chinese: 1. v. 摇头
ꀒ ꇰ | Chinese: 1. n. 头旋
ꀒ ꇸ | Chinese: 1. adj. 头发蓬乱
ꀒ ꈤ | Chinese: 1. n. 头盖骨
ꀒ ꉭ ꊂ ꉫ | Chinese: 1. v. 犹豫不定；犹豫不决
ꀒ ꉿ ꑮ ꉿ | Chinese: 1. adj. 披头散发
ꀒ ꋤ | Chinese: 1. n. 藏族
ꀒ ꎂ | Chinese: 1. n. 西昌（地名）
ꀒ ꎂ ꎽ ꃀ | Chinese: 1. n. 邛海（地名）
ꀒ ꎺ | Chinese: 1. n. 帽子（“所地”方言已育妇女用）
ꀔ | Chinese: 1. int. 恩（应答声）
ꀖ | Chinese: 1. v. (1) 挖；掏；拿出 (2) 释放（使动）
ꀖ ꁌ | Chinese: 1. n. 燕麦糠；燕麦壳
ꀖ ꍰ | Chinese: 1. v. (1) 揭发；揭露 (2) （翻箱倒柜）抄查
ꀖ ꏜ | Chinese: 1. n. 燕麦草；燕麦秸
ꀖ ꑘ | Chinese: 1. n. 垃圾
ꀗ ꁏ ꌊ ꆽ | Chinese: 1. v. 反悔
ꀗ ꂿ | Chinese: 1. n. 做法事时用的牲畜
ꀗ ꊪ | Chinese: 1. n. 杯子
ꀗ ꏒ | Chinese: 1. v. 散开
ꀗ ꐞ | Chinese: 1. v. 毕业（专指毕摩）
