above | Yi: n. [ꄩ tot]
area | Yi: n. [ꁕ pyr], [ꃅ ꄷ mu ddix], [ꊂ ꊂ wa wa]
argue | Yi: v. [ꀥ bot]
arm | Yi: n. [ꆧ ꁨ hlop bbop], [ꇇ ꆹ lot li]
armor | Yi: n. [ꑣ xie]
army | Yi: n. [ꂽ ꏂ mot shy]
around | Yi: prep. [ꅶ ꍯ hnot che]
arrange | Yi: v. [ꇺ ki], [ꄤ tap], [ꎆ rre], [ꏤ ꄉ jiet da]
arrive | Yi: v. [ꑟ xi], [ꌌ sip]
arrow | Yi: n. [ꉈ hxi]
artisan | Yi: n. [ꇮ get]
as | Yi: gr. [ꏣ jip]
ascend | Yi: v. [ꆹ li]
ash | Yi: n. [ꈑ ꆠ kup hla]
ash tree | Yi: n. [ꁮ ꁧ bbu bbo]
ashes | Yi: n. [ꄔ ꐔ dut qy], [ꈑ ꅪ kup hni]
ashamed | Yi: adj. [ꎲ shot]
ask | Yi: v. [ꅲ hna]
asleep | Yi: v. [ꀑ ꑌ ꇴ it nyi gu]
assemble | Yi: v. [ꃱ vop], [ꉻ ꏑ ho rex]
assert | Yi: att. [ꇆ luop]
assign | Yi: v. [ꁍ ꍆ pup zhat]
assist | Yi: v. [ꇇ ꀤ lot buop]
assume | Yi: v. [ꉪ ꄎ ngop dox]
asthma | Yi: n. [ꌤ syt]
astute | Yi: adj. [ꉌ ꑌ ꍣ ꅼ ngop nyi cha hnut]
at | Yi: pron. [ꇬ go]
attach | Yi: v. [ꄀ dit], [ꁥ bbot], [ꅑ ndit], [ꇻ kip]
attack | Yi: v. [ꈐ ꏿ ku qip]
attempt | Yi: aux. [ꉜ hxep], [ꉚ hxex]
attend | Yi: v. [ꃀ ꈿ mop mgep]
attention | Yi: v. [ꋓ ꉪ zzip ngop]
attractive | Yi: adj. [ꉜ ꐊ hxep qo], [ꑓ ꇁ nyuo la]
aunt | Yi: n. [ꀉ ꁧ ax bbo], [ꃀ ꑌ mop nyi]
author | Yi: n. [ꁱ ꊿ bbur co]
autumn | Yi: n. [ꃅ ꍵ mu chur], [ꍵ chur]
auxiliary verb | Yi: n. [ꇙ ꁥ lyr bbot]
avoid | Yi: v. [ꎲ shot], [ꑴ yip], [ꐵ njiet]
awake | Yi: adj. [ꀀ ꐚ it jji], [ꃱ ꐚ vop jji]
award | Yi: n. [ꈁ ꁠ ka bba]
aware | Yi: v. [ꌋ si]
ax | Yi: n. [ꃤ ꃀ vi mop]
azalea | Yi: n. [ꂙ ꃨ hmax vie], [ꎯ ꂷ shuox ma]
baby | Yi: n. [ꀿ ꏅ pat shyr]
back | Yi: n. [ꇱ ꄓ gep dep], [ꁓ ꅔ pyp ndip]
back side | Yi: n. [ꁠ ꆈ bba nuo]
backing | Yi: n. [ꉈ ꁈ hxi po], [ꍞ ꀨ zhyp bop]
bad | Yi: adj. [ꁘ bbi], [ꄸ ddi]
bag | Yi: n. [ꁀ ꎿ pax shur], [ꐣ ꁙ jjot bbip]
Bai ethnic group | Yi: prop n. [ꀙ ꋇ Bip cup]
balance | Yi: v. [ꐮ ꄙ jjyx dur]
bald | Yi: adj. [ꀂ ꌃ uop nzat], [ꀑ ꀮ o bu]
ball | Yi: n. [ꆳ ꀧ hly bo], [ꆭ ꀧ hlu bo]
balloon | Yi: n. [ꀱ ꆱ bur hlyt]
bamboo | Yi: n. [ꂷ ma]
band | Yi: n. [ꂶ ꈻ max mgo]
bangle | Yi: n. [ꃬ ꈯ va ggur]
bank | Yi: n. [ꋮ nzix], [ꒈ ꇬ yyx go]
bar | Yi: n. [ꏣ ꄿ jip dda]
bare | Yi: adj. [ꀠ ꅪ ba hni]
bark | Yi: v. [ꃮ vot]
barley | Yi: n. [ꌿ ssup]
barren | Yi: adj. [ꀆ ꅠ iex nde], [ꅠ nde], [ꀯ bup]
barrier | Yi: n. [ꈢ ꇓ ggot lur]
base | Yi: n. [ꉱ hat], [ꅉ ꃀ dde mop]
basin | Yi: n. [ꅘ ꇉ ndax lo]
basket | Yi: n. [ꁡ ꈜ bbap gga], [ꀨ ꆺ bop lip], [ꂶ ꇉ max lo]
bat (animal) | Yi: n. [ꉌ ꇑ hxi lup]
be | Yi: v. [ꉬ nge], [ꐥ jjo], [ꐛ jjip]
bean | Yi: n. [ꆖ ꂷ nur ma]
bean curd | Yi: n. [ꄔ ꃛ dut fup]
bear (animal) | Yi: n. [ꊈ wo]
bear (carry) | Yi: v. [ꏦ jie]
beard | Yi: n. [ꍌ ꆈ ꃚ bbuop nuo fu]
beat | Yi: v. [ꅥ ndup], [ꍀ vut], [ꈠ gguo], [ꄳ tup]
beautiful | Yi: adj. [ꋽ nze], [ꎔ nrat]
because | Yi: conj. [ꄉ da], [ꉥ nguox], [ꌠ ꉨ su ngox]
become | Yi: gr. [ꐛ jjip]
bed | Yi: n. [ꀀ ꈤ it ggo]
bee | Yi: n. [ꐚ jji], [ꐛ jjip]
beef | Yi: n. [ꇌ ꎸ le she]
before | Yi: adv. [ꂴ miep], [ꃀ mop]
beg | Yi: v. [ꂟ hmot]
begin | Yi: v. [ꇬ go], [ꄑ dex]
beginning | Yi: n. [ꀨ bop], [ꇫ ꇬ gox go], [ꈎ ꀨ kut bop]
behave | Yi: v. [ꃄ ꄟ mux tie], [ꑽ mu yot]
behavior | Yi: n. [ꑽ yot], [ꍻ ꄟ shux tie]
behind | Yi: adv. [ꊁ wax], [ꊂ wa], [ꊂ ꆈ wa nuo]
believe | Yi: v. [ꅇ ꑇ ddop njyp], [ꉌ ꒊ hxie yyp], [ꑇ njyp]
bell | Yi: n. [ꊪ ꇖ zy ly], [ꏲ ju]
belly | Yi: n. [ꃥ ꌺ vip sse]
belong to | Yi: gr. [ꃤ vi]
below | Yi: n. [ꀏ ot], [ꇂ ꃴ lap vut]
belt | Yi: n. [ꆞ ꏣ hlat jip], [ꐧ ꃬ jjut va]
bench | Yi: n. [ꀨ ꄂ bop di]
bend | Yi: v. [ꈎ kut], [ꉧ ngot], [ꆾ ꈜ liep gga]
beneficial | Yi: adj. [ꈲ mgat]
benefit | Yi: n. [ꈲ ꏣ mgat jip], [ꑆ ꊋ njy we]
berry | Yi: n. [ꃪ ꑘ vat nyop]
beside | Yi: n. [ꊫ zyp], [ꏢ ꀺ ji pi], [ꋑ zzix]
besides | Yi: adv. [ꉈ ꑴ hxi yip], [ꋍ ꈭ cyp ggup]
best | Yi: adj. [ꄬ top]
bet | Yi: v. [ꏍ rot]
betray | Yi: v. [ꃷ ꈋ vup kex]
better | Yi: adv. [ꄈ dax]
between | Yi: n. [ꁡ ꄆ bbap diep], [ꇢ ꆣ gat hluo], [ꈬ ggu]
beyond | Yi: n. [ꈍ ꉈ kep hxi]
bicycle | Yi: n. [ꎸ ꅍ ꃆ ꀞ she ddu mup bat]
big | Yi: adj. [ꀉ ꒉ ax yy], [ꒉ yy], [ꀉ ꇰ ax ge]
bird | Yi: n. [ꉌ ꊭ hxie zyr]
birth | Yi: v. [ꒆ yur], [ꀄ ꊭ iet zyr]
bite | Yi: v. [ꄚ tit], [ꌃ nzyt], [ꐈ qot], [ꑝ xit]
bitter | Yi: adj. [ꈌ ke]
black | Yi: adj. [ꀉ ꆈ ax nuo], [ꆈ nuo]
Black Yi | Yi: prop n. [ꆈ Nuo], [ꆈ ꉼ nuo hop]
bladder | Yi: n. [ꀁ ꀧ ix bo]
blade | Yi: n. [ꆹ ꈈ li ko]
blame | Yi: v. [ꀠ ba], [ꅑ ꀵ ndit byp], [ꏵ jur]
blanket | Yi: n. [ꄤ ꇔ tap lyt]
blaze | Yi: v. [ꐞ jjie]
blind | Yi: v. [ꌂ nzur], [ꑓ ꁖ nyuo bbit]
blink | Yi: v. [ꑓ ꃈ nyuo mur]
blister | Yi: v. [ꆱ hlyt], [ꌨ ꀱ syrx bur]
block | Yi: v. [ꄯ tep], [ꊙ zuo], [ꌬ ssi]
blood | Yi: n. [ꌦ sy]
bloom | Yi: v. [ꃨ vie]
blossom | Yi: cl. [ꀮ bu]
blow | Yi: v. [ꁏ pur], [ꄏ do], [ꂡ hmo], [ꂢ hmop]
blue | Yi: adj. [ꀊ ꃴ a vut], [ꃴ vut], [ꆧ hlop]
blunt | Yi: adj. [ꀒ ꆺ op lip]
boar | Yi: n. [ꃮ ꑌ vot nyi], [ꇇ ꁧ vot la]
board | Yi: n. [ꀻ pip], [ꌩ ꀻ syr pip]
boast | Yi: v. [ꀂ ꂇ nbu], [ꍓ zhe], [ꌑ ꐴ yip ku]
boat | Yi: n. [ꇉ lo], [ꆳ ꂾ hly mox]
body | Yi: n. [ꇭ ꀧ gop bo], [ꄿ ꈯ dda ggur]
boil | Yi: v. [ꈾ mge], [ꏬ jot], [ꏸ jy]
bold | Yi: adj. [ꀬ ꅑ but ndit]
bolt | Yi: cl. [ꁐ pyt]
bone | Yi: n. [ꃷ ꅍ vup ddu]
book | Yi: cl. [ꋐ zzit]
border | Yi: n. [ꆹ ꏮ li jo], [ꋴ nzat], [ꋮ nzix]
bore | Yi: v. [ꂇ nbu], [ꄵ tur], [ꇓ lur]
borrow | Yi: v. [ꉛ hxe], [ꐱ njit]
bosom | Yi: n. [ꂣ ꈓ hmut kur]
boss | Yi: n. [ꌊ ꁈ six po]
bother | Yi: v. [ꌾ ssu], [ꏒ re]
bottle | Yi: n. [ꑽ ꏃ yot shyp]
bottom | Yi: n. [ꀏ ꏯ ot jop], [ꉱ hat]
boundary | Yi: n. [ꃅ ꋮ mu nzix], [ꇜ gi], [ꋴ nzat]
Bouyei ethnic group | Yi: prop n. [ꀯ ꑳ ꋇ Bup yi cup]
bow (weapon) | Yi: n. [ꉹ hot]
bow (bend) | Yi: v. [ꀍ ꃈ uo mur], [ꈎ kut]
bowl | Yi: cl. [ꍔ zhep], [ꇓ ꍔ lur zhep]
box | Yi: cl. [ꁬ bbut]
boy | Yi: n. [ꌺ sse]
bracelet | Yi: n. [ꃬ ꈯ va ggur], [ꇇ ꈯ lot ggur]
brag | Yi: v. [ꀂ ꂇ nbu], [ꍓ zhe]
braid | Yi: v. [ꏶ jyt], [ꃛ fup], [ꉼ hop]
brain | Yi: n. [ꀑ ꆊ o not]
branch | Yi: n. [ꇇ lot], [ꈤ ggo], [ꌩ ꇇ syr lot]
brave | Yi: adj. [ꀬ but], [ꈄ kuo]
brawny | Yi: adj. [ꀠ ꄲ ba tu]
bread | Yi: n. [ꃚ fu]
break | Yi: v. [ꀣ buo], [ꁖ bbit], [ꈘ ggie], [ꆜ hlie], [ꆼ liex]
breakfast | Yi: n. [ꍬ chop]
breast | Yi: n. [ꀉ ꆂ ax nie], [ꄌ ꈿ duo mgep]
breath | Yi: n. [ꌗ sot]
breathe | Yi: v. [ꌗ ꋍ sot cyp]
breed | Yi: v. [ꇱ gep], [ꍔ zhep]
breeze | Yi: n. [ꆲ ꌙ hlyx so]
bribe | Yi: n. [ꃴ ꎆ vut rre]
bride | Yi: n. [ꑮ ꃀ xyp mop]
bride price | Yi: n. [ꃜ ꎆ furx rre], [ꑮ ꒃ ꎆ xyp yu rre]
bridge | Yi: n. [ꋒ zzi]
bridle | Yi: n. [ꍋ zhuo]
bright | Yi: adj. [ꌬ ssi], [ꄇ ꇁ dat la], [ꁨ ꇉ bbop lo]
bring | Yi: v. [ꁠ bba], [ꌌ sip], [ꌊ six]
brittle | Yi: adj. [ꃃ mut], [ꈳ ꌣ mgax sur]
broad | Yi: adj. [ꌊ ꏪ six juo]
broken | Yi: adj. [ꀉ ꐡ ax jjuo], [ꆿ ꐛ lat jjip]
broom | Yi: n. [ꑶ ꌩ yiex syr]
brother | Yi: n. [ꀁ ꑳ ix yi], [ꃈ mur], [ꃇ ꌺ murx sse]
brothers-in-law | Yi: n. [ꀊ ꃶ ꀊ ꌱ a vu a ssat]
brown | Yi: adj. [ꀊ ꈨ a gge]
brush | Yi: v. [ꎰ shuo]
bubble | Yi: n. [ꀯ ꆫ bup hlut], [ꃴ vut]
bucket | Yi: n. [ꀮ bu], [ꉈ ꀮ yyx bu]
buckwheat | Yi: n. [ꈾ mge], [ꈿ ꏂ mgep shy]
bud | Yi: v. [ꅿ ni], [ꅩ ꅐ hnix ddur]
buddy | Yi: n. [ꁦ ꋠ bbox zze]
buffalo | Yi: n. [ꒈ ꑌ yyx nyi]
bug | Yi: n. [ꂶ ꍯ max che]
build | Yi: v. [ꄻ ddie], [ꋉ cur], [ꑲ ꋉ yix cur]
building | Yi: n. [ꀁ ꇬ ix go], [ꑷ ꂿ yie mo]
bull | Yi: n. [ꇌ le]
bullet | Yi: n. [ꎬ ꄵ shax tur]
bully | Yi: v. [ꆼ ꍅ liex ssyr], [ꉄ mgurx], [ꉜ ꄸ hxep ddi]
bum | Yi: n. [ꆿ ꏓ lat rep]
bump | Yi: v. [ꄜ ti], [ꁻ nbie], [ꊴ cie], [ꉅ mgur]
bunch | Yi: cl. [ꋇ cup], [ꋉ cur], [ꄚ tit]
bundle | Yi: v. [ꆼ ꎭ liex sha], [ꎫ shat]
bunion | Yi: n. [ꃬ ꑓ va nyuo]
burglar | Yi: n. [ꍿ rruo], [ꏄ ꍿ shyrx rruo]
burial | Yi: v. [ꄃ dip]
burn | Yi: v. [ꃚ fu], [ꅢ ndut], [ꅑ ndit], [ꆰ hlur], [ꍂ ssy]
burst | Yi: v. [ꀧ bo]
bury | Yi: v. [ꂄ nbop], [ꄃ dip], [ꃃ mut]
business | Yi: n. [ꌤ syt], [ꃼ ꇇ vy lot], [ꃷ ꐪ vup jjup]
busy | Yi: adj. [ꃛ fup], [ꊸ ca], [ꇨ ꊸ guo ca]
but | Yi: conj. [ꄚ tit]
butcher | Yi: v. [ꎸ she]
butt | Yi: v. [ꄜ ti]
buttocks | Yi: n. [ꁓ ꅔ pyp ndip], [ꏾ ꋒ qi zzi]
button | Yi: n. [ꃀ ꉼ mop hop], [ꃛ ꂷ fup ma], [ꆹ ꃙ li fux]
buy | Yi: v. [ꃼ vy]
by | Yi: gr. [ꇱ gep]
cabbage | Yi: n. [ꉐ ꀖ hxa bit]
cabinet | Yi: n. [ꇮ get], [ꈄ ꁨ kuo bbop]
cable | Yi: n. [ꋹ nzuo]
cake | Yi: n. [ꈴ ꃪ mga vat]
calculate | Yi: v. [ꌋ si], [ꌗ sot], [ꌗ ꏢ sot ji]
calf | Yi: n. [ꇂ ꇤ lap ga]
call | Yi: v. [ꇴ gu], [ꄏ do], [ꍝ zhy]
callus | Yi: n. [ꇇ ꀙ lot bip], [ꄉ ꏦ da jie]
calm | Yi: adj. [ꂱ ꇬ mip go], [ꂱ ꏵ mip jur], [ꊋ ꌋ yyp si]
camel | Yi: n. [ꉼ ꃀ hop mop]
camera | Yi: n. [ꒌ ꍑ ꏸ yyr zhet jy]
camp | Yi: n. [ꍆ ꁍ zhat pup]
can | Yi: aux. [ꇮ get], [ꄎ dox], [ꄐ dop], [ꈜ ꐙ gga jjix]
canal | Yi: n. [ꒉ ꁦ yy bbox]
cannon | Yi: n. [ꄇ ꍩ dat chot]
canola | Yi: n. [ꊮ ꊫ cit zyp]
capable | Yi: adj. [ꌳ ꉔ ssa hxuo]
capital | Yi: n. [ꀨ bop], [ꀨ ꊰ bop ci]
capture | Yi: v. [ꁮ bbu], [ꋇ cup]
car | Yi: n. [ꍮ ꊪ chex zy]
care | Yi: v. [ꃷ ꇎ vup lut], [ꉈ ꇬ hxi go]
careful | Yi: adv. [ꊖ za], [ꑴ ꌧ yip syp]
carefully | Yi: adv. [ꎔ ꃅ nrat mu]
careless | Yi: adj. [ꃄ ꈌ mux ke], [ꆽ ꌑ lie mip]
carpenter | Yi: n. [ꌩ ꊨ syr zyt]
carrot | Yi: n. [ꀉ ꑐ ꃱ ꋯ ax nyie vop nzi], [ꉇ ꈌ ꃱ ꋯ hxix ke vop nzi]
carry | Yi: v. [ꀳ byx], [ꀵ byp], [ꁠ bba], [ꄜ ti], [ꏦ jie]
cart | Yi: n. [ꃅ ꈺ mu mgox], [ꌩ ꃅ syr mu]
carve | Yi: v. [ꋖ zzie]
carving | Yi: n. [ꇓ ꁱ lur bbur]
case | Yi: n. [ꃣ ꈌ vix ke]
cast | Yi: v. [ꏿ qip], [ꎵ shop]
caste | Yi: n. [ꌅ Nzy], [ꆈ Nuo]
castrate | Yi: v. [ꄃ dip], [ꈪ ggut], [ꆼ ꇽ liex kie]
cat | Yi: n. [ꀉ ꑐ ax nyie], [ꑐ nyie]
catch | Yi: v. [ꄵ tur], [ꈌ ꈹ ke mgot], [ꋇ cup]
category | Yi: cl. [ꏠ jit]
cattle | Yi: n. [ꇌ le], [ꇂ ꁮ lap bbu]
cause | Yi: v. [ꁈ po], [ꄻ ddie], [ꐛ jjip]
caution | Yi: att. [ꂵ mat]
cave | Yi: n. [ꃅ ꐬ mu jjur], [ꃪ ꑳ vat yi]
celebrate | Yi: v. [ꊒ zie], [ꋨ ꏦ zzyx jie]
celery | Yi: n. [ꋏ ꆸ cyr lix]
centipede | Yi: n. [ꁯ ꄸ ꃬ bbup ddi va], [ꃬ ꑇ va njyp]
center | Yi: n. [ꈪ ꄙ ggut dur], [ꈯ ꄜ ggur ti]
ceremony | Yi: n. [ꀘ bi], [ꀆ ꀀ ꃀ ie nip mop]
certainly | Yi: adv. [ꀋ ꎪ ꃅ ap nryr mu], [ꎂ ꀕ rro w]
chair | Yi: n. [ꑌ ꄜ nyi ti]
chalk | Yi: n. [ꀙ ꐎ bip qu]
change | Yi: v. [ꄜ ti], [ꆦ hlo], [ꉪ ꁏ ngop pur], [ꐈ qot]
channel | Yi: n. [ꒉ ꈜ yyx gga]
chant | Yi: v. [ꈼ mgop]
chaotic | Yi: adj. [ꃆ ꃶ mup vu]
chap | Yi: v. [ꋒ zzi]
character | Yi: n. [ꁱ ꂷ bbur ma]
charcoal | Yi: n. [ꌋ si], [ꏃ ꎐ shyp rryt]
charge | Yi: v. [ꂇ nbu], [ꂵ mat], [ꅸ hnop]
chase | Yi: v. [ꈹ mgot]
chat | Yi: v. [ꅇ ꄜ ddop ti], [ꌧ ꈿ syp mgep], [ꉉ ꈿ hxip mgep]
cheap | Yi: adj. [ꁌ ꒃ pu yu], [ꈝ ꐮ ggap jjyx]
cheat | Yi: v. [ꀸ pit], [ꊏ zi]
check | Yi: v. [ꍤ chap], [ꍤ ꄻ chap ddie]
cheek | Yi: n. [ꁧ ꇉ bbo lo]
cheekbone | Yi: n. [ꁧ ꃚ bbo fu], [ꁧ ꉻ bbo ho]
cheer | Yi: v. [ꇳ ꉔ gux hxuo], [ꊋ ꊡ we zep]
cherry | Yi: n. [ꆳ ꃰ hly vo]
chest | Yi: n. [ꉦ nguo], [ꉦ ꃀ nguo mop]
chestnut | Yi: n. [ꁖ ꐎ bbit qu]
chew | Yi: v. [ꌃ nzyt], [ꉀ mgut]
chicken | Yi: n. [ꃬ va], [ꑷ yie]
chief | Yi: n. [ꊥ ꃀ zup mop]
child | Yi: n. [ꀉ ꑳ ax yi], [ꀿ ꏅ pat shyr], [ꌳ ꃈ ssa mur]
children | Yi: n. [ꀊ ꉘ a hxo], [ꌺ ꇖ sse ly]
chill | Yi: n. [ꀿ ꑳ ꆹ ꂫ pat yi li hmyp]
chilly | Yi: adj. [ꃴ ꈻ vut mgo]
chin | Yi: n. [ꈂ ꏠ kap jit]
China | Yi: prop n. [ꍏ ꇩ Zho guop]
Chinese | Yi: n. [ꉌ ꈲ Hxie mgat]
chip | Yi: v. [ꈂ ꐈ kap qot], [ꅳ ꐈ hnap qot]
chisel | Yi: v. [ꁶ nbit], [ꄵ tur], [ꇓ lur]
choke | Yi: v. [ꆽ ꉊ lie hxiet], [ꌌ sip]
choose | Yi: v. [ꌋ si]
chop | Yi: v. [ꇽ kie], [ꍸ chy], [ꋐ zzit], [ꏪ juo]
chopsticks | Yi: n. [ꎋ rrup]
chronic | Yi: adj. [ꆄ ꆹ nax li]
chrysalis | Yi: n. [ꁮ ꆰ bbu hlur]
chunk | Yi: cl. [ꌋ si]
cicada | Yi: n. [ꁯ ꎓ bbup rryr]
cigarette | Yi: n. [ꑳ yi]
circle | Yi: v. [ꆗ ꁍ hlit pup]
circular | Yi: adj. [ꃰ ꇌ vo le]
circumspect | Yi: adj. [ꉪ ꁨ ngop bbop]
cistern | Yi: n. [ꒉ ꇸ yyx kit]
city | Yi: n. [ꇓ lur], [ꇓ ꈓ lur kur]
civet cat | Yi: n. [ꄙ dur]
claim | Yi: v. [ꆸ ꌬ lix ssi]
clamp | Yi: v. [ꏦ jie]
clan | Yi: n. [ꋊ ꃤ cyt vi], [ꃤ vi], [ꏣ ꑟ jip xi]
clap | Yi: v. [ꏪ juo]
classifier | Yi: n. [ꎖ ꅇ nra ddop]
classroom | Yi: n. [ꂘ ꑳ hmat yi]
classmate | Yi: n. [ꌷ ꐋ sso qop]
claw | Yi: n. [ꁖ ꇤ bbit ga]
clean | Yi: adj. [ꁦ ꎴ bbox sho], [ꋒ ꐚ zzi jji]
clean | Yi: v. [ꌋ si], [ꌨ ꑻ syrx yuo]
clear | Yi: adj. [ꂥ ꀘ hmu bi], [ꊸ ca], [ꐝ ꉅ jjiex mgur]
clear sky | Yi: adj. [ꃅ ꊸ mu ca]
clever | Yi: adj. [ꀑ ꁮ o bbu], [ꈔ ꁮ ggit bbu], [ꍄ ꇽ ssyrx kie]
cliff | Yi: n. [ꃪ vat], [ꃪ ꅪ vat hni]
climb | Yi: v. [ꅂ dduo], [ꏣ jip]
close | Yi: v. [ꂭ hmyr], [ꈢ ggot], [ꃖ fo]
cloth | Yi: n. [ꀙ ꀬ bip but], [ꂪ ꌦ hmy sy], [ꁁ pa]
clothes | Yi: n. [ꃢ vit], [ꃢ ꈜ vit gga]
clothing | Yi: n. [ꈚ ꅍ ggat ddu]
cloud | Yi: n. [ꃅ ꄂ mu di], [ꄂ di]
cloudy | Yi: adj. [ꃅ ꉩ mu ngo]
clumsy | Yi: adj. [ꀠ ꆺ ba lip], [ꅯ ꇰ dox ge], [ꊋ ꁧ we bbo]
coal | Yi: n. [ꌋ si], [ꊖ ꌋ za si]
coarse | Yi: adj. [ꀉ ꉾ ax he], [ꀠ ꐦ ba jjop], [ꋍ cyp]
coat | Yi: n. [ꀂ ꄁ i dix]
cock | Yi: n. [ꃬ ꀮ va bu]
cockcomb | Yi: n. [ꌀ nzup]
coffin | Yi: n. [ꈾ ꁮ mge bbu]
coil | Yi: v. [ꈑ kup], [ꈭ ggup], [ꑊ nyit]
cold | Yi: adj. [ꈜ ꈼ gga mgop], [ꈠ gguo], [ꀊ ꈻ a mgo]
collapse | Yi: v. [ꀜ ꐡ bie jjuo], [ꃄ ꐡ mux jjuo], [ꐡ jjuo]
collect | Yi: v. [ꏓ rep], [ꄔ dut], [ꏣ jip]
collective | Yi: n. [ꋍ ꉻ cyp ho]
collarbone | Yi: n. [ꈠ ꃶ gguo vu]
color | Yi: n. [ꑊ ꑆ nyit njy]
colored | Yi: adj. [ꀉ ꁱ ax bbur]
colt | Yi: n. [ꃆ ꌺ mup sse], [ꃆ ꐱ mup njit]
comb | Yi: n. [ꀍ ꀬ uo but], [ꊝ zo]
combine | Yi: v. [ꋏ ꆸ cyr lix]
come | Yi: v. [ꇁ la]
